title,description,country,year,important,keywords,link,image
The Strengthening of Censorship,"Fearing the contagious influence of the French Revolution, Pavel (Paul I of Russia) prohibited the importation of foreign books and the sending of young people abroad for education in 1800. At the Riga customs alone, 552 volumes intended for importation into Russia were confiscated. Esteemed authors such as Goethe, Schiller, Kant, Swift, and others fell into disfavor. All private (""free"") printing houses in the country were closed. Pavel disapproved of the French fashion of clothing and words that reminded him of revolutionary France.",Russia,1800,no,,,
Assassination of Pavel I,"A conspiracy was formed by Counts Peter Ludwig von der Pahlen, Nikita Petrovich Panin, and Admiral de Ribas, allegedly with the support of the British ambassador. On the night of March 23, 1801, a group of officers, including General Bennigsen and General Yashvil, stormed into Paul's bedroom at Saint Michael's Castle. They found him hiding and attempted to force him to sign his abdication, but Paul resisted. Ultimately, he was struck with a sword by Nikolay Zubov and was strangled and trampled to death. Paul's son, Alexander, who was present in the palace at the time, had given consent to overthrow Paul but had not anticipated assassination as the means. Alexander succeeded his father without punishing the assassins, and the official cause of death was declared as apoplexy.",Russia,1801,no,,,
Invention of powdered milk,The first modern production process for dried milk was invented by the Russian doctor Osip Krichevsky in 1802. The first commercial production of dried milk was organized by the Russian chemist M. Dirchoff in 1832.,Russia,1802,no,,,
Alexander I established the Ministry of Internal Affairs,"The first interior ministry in Russia was created by Tsar Alexander I on 28 March 1802 in the process of government reforms to replace the aging collegia of Peter the Great. The MVD was one of the most powerful governmental bodies of the Empire, responsible for the police forces and Internal Guards and the supervision of gubernial administrations.",Russia,1802,no,,,
Invention of arc welding,"In 1802, Petrov discovered the electric arc effect, thanks to his building the world's largest and most powerful Voltaic pile at the time. In ""News of Galvanic-Voltaic Experiments"", 1803, Petrov described experiments performed using the voltaic pile, detailing the stable arc discharge and the indication of its possible use in artificial lighting, melting metals for smelting and welding, obtaining pure metallic oxides, and reduction of metals from oxides mixed with powdered carbon and oils. It was not until the late 1880s that technology based on Petrov's experiments was developed with the goal of industrial usage.",Russia,1803,no,,,
Decree on free cultivators,"Under this decree, the landlords received the right to give their serfs personal freedom and transfer land plots to them. The terms of release were determined by the landowner himself: free of charge, for a ransom, or on the terms of working out duties. During the reign of Alexander I, about 40,000 peasants received freedom in accordance with the decree.",Russia,1803,yes,,,
Russo-Persian War (1804–1813),"The Russo-Persian War of 1804–1813 was one of the many wars between the Persian Empire and Imperial Russia, and began like many of their wars as a territorial dispute. The new Persian king, Fath Ali Shah Qajar, wanted to consolidate the northernmost reaches of his kingdom—modern-day Georgia—which had been annexed by Tsar Paul I several years after the Russo-Persian War of 1796. Like his Persian counterpart, the Tsar Alexander I was also new to the throne and equally determined to control the disputed territories. The war ended in 1813 with the Treaty of Gulistan which ceded the previously disputed territory of Georgia to Imperial Russia, and also the Iranian territories of Dagestan, most of what is nowadays Azerbaijan, and minor parts of Armenia.",Russia,1804,yes,,,
War of the Third Coalition (1805–1806),"War of the Third Coalition was a European conflict spanning 1805 to 1806. During the war, France and its client states under Napoleon I opposed an alliance, the Third Coalition, which was made up of the United Kingdom, the Holy Roman Empire, the Russian Empire, Naples, Sicily, and Sweden. The Third Coalition itself came to full fruition in 1804–05 as Napoleon's actions in Italy and Germany spurred Austria and Russia into joining Britain against France.",Russia,1805,yes,,,
Battle of Austerlitz,"The Battle of Austerlitz (2 December 1805) also known as the Battle of the Three Emperors, was one of the most important and decisive engagements of the Napoleonic Wars. The battle occurred near the town of Austerlitz in the Austrian Empire. The decisive victory of Napoleon's Grande Armée at Austerlitz brought the War of the Third Coalition to a rapid end, with the Treaty of Pressburg signed by the Austrians later in the month.",Russia,1805,yes,,,
Russo-Turkish War (1806–1812),"The Russo-Turkish War (1806–1812) between the Russian Empire and the Ottoman Empire was one of the Russo-Ottoman Wars. Russia prevailed, but both sides wanted peace as they feared Napoleon's moves to the east.",Russia,1806,no,,,
Treaties of Tilsit,"The Treaties of Tilsit were two agreements signed in July 1807 after Napoleon's victory at Friedland. The first treaty was signed between Napoleon and Russian Emperor Alexander on July 7, while the second was signed with Prussia on July 9. These treaties had significant consequences for King Frederick William III of Prussia, who had already agreed to a truce after his defeat by the French. In Tilsit, he had to cede about half of his pre-war territories, which Napoleon used to create French sister republics and award to existing French client states and Russia. These treaties solidified Napoleon's control over Central Europe and secured alliances with Russia and Prussia against their common enemies, the United Kingdom and Sweden. As a result, it triggered the Anglo-Russian and Finnish wars.",Russia,1807,yes,,,
Finnish War,"The Finnish War was fought between the Kingdom of Sweden and the Russian Empire from 21 February 1808 to 17 September 1809 as part of the Napoleonic Wars. As a result of the war, the eastern third of Sweden was established as the autonomous Grand Duchy of Finland within the Russian Empire.",Russia,1808,no,,,
Treaty of Fredrikshamn,"The Treaty of Fredrikshamn was a peace treaty concluded between Sweden and Imperial Russia on 17 September 1809. The treaty concluded the Finnish War and was signed in the Finnish town of Hamina (Swedish: Fredrikshamn). In the treaty, Sweden ceded Finnish territories to Russia.",Russia,1809,no,,,
Establishment of State Council,"The State Council was established by Alexander I of Russia in 1810 as part of Speransky's reforms. Although envisaged by Speransky as the upper chamber of the Russian parliament, it was actually an advisory legislative body composed of people whom the tsar could trust. The number of members varied at different periods. Upon its establishment in 1810 there were 35 members; in 1890 there were 60. The main duty of the Council was the preliminary investigation, promulgation and abrogation of laws.",Russia,1810,yes,,,
Surrender of the Turks at in Romania,"During the Russo-Turkish War of 1806-1812, Russian forces under the command of General Mikhail Kutuzov defeated the Turkish army of Grand Vizier Ahmed Pasha near the settlement of Slobozia on the left bank of the Danube in Romania.",Russia,1811,no,,,
Treaty of Bucharest,"The Treaty of Bucharest between the Ottoman Empire and the Russian Empire was signed on 28 May 1812 in Bucharest, and ratified on 5 July 1812, at the end of the Russo-Turkish War of 1806–1812. Under its terms, historical region of Bessarabia was ceded by the Ottoman Empire to Russia.  In Transcaucasia, the Ottomans renounced their claims to most of western Georgia by accepting the Russian annexation of the Kingdom of Imereti in 1810. Furthermore a truce was signed (Article 8 of the Treaty) with the rebelling Serbs and autonomy given to Serbia. The Treaty of Bucharest, signed by the Russian commander Mikhail Kutuzov, was ratified by Alexander I of Russia 13 days before Napoleon's invasion of Russia.",Russia,1812,yes,,,
Patriotic War of 1812,"The French invasion of Russia in 1812 was a military campaign led by Emperor Napoleon Bonaparte to conquer Russia. With an army of over 600,000 soldiers, Napoleon launched his offensive in June 1812, aiming to bring Russia under his control. However, the Russian forces, led by General Mikhail Kutuzov, adopted a strategy of retreating and employing scorched-earth tactics, denying the French army the resources and supplies they needed. As the harsh Russian winter set in, coupled with guerrilla attacks and the devastating Battle of Borodino, the French army suffered heavy casualties and was forced to retreat. The retreat turned into a disastrous rout, and by the end of the campaign, only a fraction of the original French army remained. The French invasion of Russia proved to be a significant turning point in the Napoleonic Wars and marked a major setback for Napoleon's empire.",Russia,1812,yes,,,
Treaty of Gulistan,"The Treaty of Gulistan was a peace treaty concluded between the Russian Empire and Iran on 24 October 1813 as a result of the first full-scale Russo-Persian War (1804 to 1813). The treaty confirmed the ceding and inclusion of what is now Dagestan, eastern Georgia, most of the Republic of Azerbaijan and parts of northern Armenia from Iran into the Russian Empire.",Russia,1813,yes,,,
Battle of Paris,"The Battle of Paris was fought on 30–31 March 1814 between the Sixth Coalition, consisting of Russia, Austria, and Prussia, and the French Empire. After a day of fighting in the suburbs of Paris, the French surrendered on March 31, ending the War of the Sixth Coalition and forcing Emperor Napoleon to abdicate and go into exile.",Russia,1814,yes,,,
Congress of Vienna,"The Congress of Vienna in 1815 was a diplomatic conference that aimed to redraw the political map of Europe following the Napoleonic Wars. The major European powers, including Austria, Russia, Prussia, and Great Britain, convened to negotiate a comprehensive settlement to restore stability and maintain a balance of power. Led by key statesmen such as Prince Klemens von Metternich of Austria, the congress sought to address territorial boundaries, political systems, and the restoration of monarchies. The principles of legitimacy, conservatism, and compensation were emphasized during the negotiations. The final agreements resulted in significant territorial adjustments, the restoration of Bourbon monarchy in France, the establishment of the German Confederation, and the commitment to maintain the status quo. The Congress of Vienna laid the foundation for a new era of peace and stability in Europe that lasted for several decades.",Russia,1815,yes,,,
Foundation of Union of Salvation,"The Union of Salvation was the first secret political society of the Decembrists, participants of the Russian anti-government armed movement, who organized the uprising on Senate Square in St. Petersburg in December of 1825.",Russia,1816,no,,,
Abolishing of serfdom (salvery) in Baltic regions of Russia 1816-1819,Serfdom was abolished in the Baltic regions of the Russian Empire (present-day Estonia and Latvia).,Russia,1816,no,,,
